3 ,D. RICCIARDO
5 ,S. VETTEL
6 ,N. ROSBERG
LAP  ,TIME,LAP  ,TIME
1 ,16:06:03 ,30 ,1:32.939
2 ,2:23.889 ,31 ,1:33.207
3 ,2:12.122 ,32 ,1:33.139
4 ,1:36.675 ,33 ,1:33.128
5 ,1:35.092 ,34 ,1:33.167
6 ,1:34.810 ,35 ,1:33.005
7 ,1:34.420 ,36 ,1:33.063
8 ,1:34.510 ,37 ,1:32.934
9 ,1:34.213 ,38 ,1:32.900
10 ,1:34.236 ,39 ,1:33.231
11 ,1:34.037 ,40 ,1:33.172
12 ,1:34.029 ,41 ,1:33.003
13 ,1:33.991 ,42 ,1:33.030
14 ,1:34.354 ,43 ,1:33.045
15 ,1:34.629 ,44 ,1:33.377
16 ,1:34.082 ,45 ,1:34.615
17 ,1:34.340 ,46 ,1:32.797
18 ,1:34.963 ,47 ,1:33.253
19 ,1:34.456 ,48 ,1:34.021
20 ,1:34.288 ,49 ,1:34.011
21 ,1:34.688 ,50 ,1:33.121
22 ,1:34.649 ,51 ,1:33.690
23 P ,1:53.800 ,52 ,1:33.224
24 ,1:39.811 ,53 ,1:33.332
25 ,1:33.836 ,54 ,1:33.342
26 ,1:33.761 ,55 ,1:33.934
27 ,1:33.543 ,56 ,1:38.234
28 ,1:33.574 ,57 ,1:36.576
29 ,1:33.102,"",""
LAP  ,TIME,LAP  ,TIME
1 ,16:06:00 ,30 ,1:32.518
2 ,2:24.069 ,31 ,1:32.698
3 ,2:13.846 ,32 ,1:32.443
4 ,1:35.361 ,33 ,1:32.300
5 ,1:34.027 ,34 ,1:32.856
6 ,1:33.438 ,35 ,1:32.633
7 ,1:33.197 ,36 ,1:32.567
8 ,1:33.754 ,37 ,1:32.456
9 ,1:32.991 ,38 ,1:32.518
10 ,1:33.074 ,39 ,1:33.729
11 ,1:33.490 ,40 ,1:32.644
12 ,1:33.597 ,41 ,1:32.673
13 ,1:33.513 ,42 ,1:32.653
14 ,1:33.374 ,43 ,1:32.129
15 ,1:33.853 ,44 ,1:32.334
16 ,1:33.173 ,45 ,1:32.288
17 ,1:33.229 ,46 ,1:32.054
18 ,1:33.146 ,47 ,1:32.259
19 ,1:33.168 ,48 ,1:32.037
20 ,1:33.145 ,49 ,1:32.127
21 ,1:32.859 ,50 ,1:31.754
22 ,1:32.307 ,51 ,1:31.578
23 ,1:32.664 ,52 ,1:31.457
24 P ,1:51.263 ,53 ,1:31.492
25 ,1:38.543 ,54 ,1:31.847
26 ,1:32.115 ,55 ,1:31.719
27 ,1:32.429 ,56 ,1:31.478
28 ,1:32.670 ,57 ,1:31.717
29 ,1:32.432 ,58 ,1:33.383
LAP  ,TIME,LAP  ,TIME
1 ,16:05:56 ,30 ,1:31.754
2 ,2:25.242 ,31 ,1:31.609
3 ,2:14.420 ,32 ,1:31.737
4 ,1:34.638 ,33 ,1:31.660
5 ,1:33.068 ,34 ,1:32.981
6 ,1:32.371 ,35 ,1:31.775
7 ,1:32.827 ,36 ,1:31.355
8 ,1:32.460 ,37 ,1:31.610
9 ,1:32.380 ,38 ,1:31.573
10 ,1:32.572 ,39 ,1:31.565
11 ,1:33.184 ,40 ,1:31.798
12 ,1:32.650 ,41 ,1:31.400
13 ,1:32.752 ,42 ,1:31.493
14 ,1:32.930 ,43 ,1:31.259
15 ,1:33.576 ,44 ,1:32.243
16 ,1:32.324 ,45 ,1:31.231
17 ,1:32.300 ,46 ,1:31.319
18 ,1:32.365 ,47 ,1:31.092
19 ,1:32.243 ,48 ,1:31.332
20 ,1:32.426 ,49 ,1:31.141
21 ,1:32.454 ,50 ,1:31.384
22 ,1:33.011 ,51 ,1:31.443
23 ,1:32.948 ,52 ,1:31.678
24 ,1:33.048 ,53 ,1:31.688
25 ,1:33.964 ,54 ,1:31.411
26 P ,1:51.568 ,55 ,1:31.372
27 ,1:38.552 ,56 ,1:31.366
28 ,1:32.092 ,57 ,1:31.189
29 ,1:32.108 ,58 ,1:31.146
7 ,K. RAIKKONEN
8 ,R. GROSJEAN
9 ,M. ERICSSON
LAP  ,TIME,LAP  ,TIME
1 ,16:06:04 ,21 ,1:32.009
2 ,2:23.867 ,22 ,1:32.194
3 ,2:11.256 ,23 ,1:32.335
4 ,1:37.230 ,24 ,1:34.015
5 ,1:35.071 ,25 ,1:32.322
6 ,1:34.684 ,26 ,1:32.881
7 ,1:34.126 ,27 ,1:31.681
8 ,1:34.264 ,28 ,1:31.952
9 ,1:34.239 ,29 ,1:32.053
10 ,1:34.222 ,30 ,1:31.585
11 ,1:34.061 ,31 ,1:31.947
12 ,1:33.999 ,32 ,1:31.523
13 ,1:33.898 ,33 ,1:32.003
14 ,1:34.582 ,34 ,1:32.999
15 ,1:34.486 ,35 ,1:32.154
16 P ,1:57.600 ,36 ,1:31.426
17 ,1:39.215 ,37 ,1:31.697
18 ,1:31.960 ,38 ,1:31.759
19 ,1:33.242 ,39 ,1:32.310
20 ,1:32.112 ,40 P ,1:51.054
LAP  ,TIME,LAP  ,TIME
LAP  ,TIME,LAP  ,TIME
1 P ,16:06:19 ,30 ,1:33.866
2 ,2:13.281 ,31 ,1:33.453
3 ,2:09.284 ,32 ,1:33.258
4 ,1:38.426 ,33 ,1:33.463
5 ,1:36.659 ,34 ,1:33.323
6 ,1:34.748 ,35 ,1:34.025
7 ,1:34.755 ,36 ,1:34.115
8 ,1:34.677 ,37 ,1:33.841
9 ,1:34.917 ,38 ,1:34.202
10 ,1:35.035 ,39 ,1:36.198
11 ,1:34.845 ,40 ,1:34.112
12 ,1:34.577 ,41 ,1:34.785
13 ,1:34.650 ,42 ,1:34.061
14 ,1:35.228 ,43 P ,2:00.550
15 ,1:35.184 ,44 ,1:40.817
16 ,1:34.728 ,45 ,1:32.101
17 ,1:34.686 ,46 ,1:31.600
18 ,1:34.369 ,47 ,1:31.981
19 ,1:34.741 ,48 ,1:31.931
20 ,1:35.006 ,49 ,1:31.911
21 ,1:35.136 ,50 ,1:31.727
22 ,1:34.637 ,51 ,1:31.560
23 ,1:35.197 ,52 ,1:32.721
24 ,1:36.055 ,53 ,1:33.613
25 ,1:36.969 ,54 ,1:33.364
26 P ,1:58.722 ,55 ,1:32.469
27 ,1:41.614 ,56 ,1:32.490
28 ,1:33.724 ,57 ,1:32.143
29 ,1:33.564,"",""
11 ,S. PEREZ
12 ,F. NASR
13 ,P. MALDONADO
LAP  ,TIME,LAP  ,TIME
1 ,16:06:06 ,30 ,1:35.090
2 ,2:24.532 ,31 ,1:35.046
3 ,2:10.016 ,32 ,1:35.675
4 ,1:40.153 ,33 ,1:36.666
5 ,1:37.226 ,34 ,1:36.423
6 ,1:36.967 ,35 ,1:35.764
7 ,1:38.563 ,36 ,1:35.817
8 ,1:35.410 ,37 ,1:34.871
9 ,1:36.096 ,38 P ,2:00.409
10 ,1:36.174 ,39 ,1:39.395
11 ,1:35.801 ,40 ,1:31.995
12 ,1:37.405 ,41 ,1:32.025
13 ,1:36.232 ,42 ,1:32.552
14 ,1:43.446 ,43 ,1:33.201
15 ,1:35.629 ,44 ,1:32.359
16 ,1:35.380 ,45 ,1:32.274
17 ,1:35.657 ,46 ,1:31.959
18 ,1:35.395 ,47 ,1:32.125
19 ,1:35.803 ,48 ,1:32.335
20 ,1:35.217 ,49 ,1:32.212
21 ,1:35.685 ,50 ,1:32.696
22 ,1:35.663 ,51 ,1:32.560
23 ,1:35.245 ,52 ,1:32.948
24 ,1:35.783 ,53 ,1:33.392
25 ,1:35.442 ,54 ,1:33.260
26 ,1:35.712 ,55 ,1:33.724
27 ,1:36.349 ,56 ,1:35.745
28 ,1:36.692 ,57 ,1:34.997
29 ,1:35.863,"",""
LAP  ,TIME,LAP  ,TIME
1 ,16:06:02 ,30 ,1:33.459
2 ,2:23.809 ,31 ,1:33.466
3 ,2:12.364 ,32 ,1:33.585
4 ,1:36.284 ,33 ,1:33.385
5 ,1:35.148 ,34 ,1:33.234
6 ,1:34.761 ,35 ,1:33.887
7 ,1:34.263 ,36 ,1:33.435
8 ,1:34.505 ,37 ,1:33.221
9 ,1:34.330 ,38 ,1:33.019
10 ,1:34.164 ,39 ,1:33.429
11 ,1:33.945 ,40 ,1:33.127
12 ,1:34.047 ,41 ,1:32.739
